timesheet_id,end_time,notes,start_time
1,8:59 PM,Theropithecus gelada,5:37 AM
2,4:32 AM,Bucorvus leadbeateri,3:10 AM
3,12:26 AM,Microcebus murinus,1:16 AM
4,2:52 PM,Zalophus californicus,7:53 PM
5,8:17 AM,Uraeginthus bengalus,6:21 AM
6,1:43 AM,unavailable,1:05 AM
7,3:38 PM,Phoenicopterus ruber,11:36 PM
8,6:09 PM,Anthropoides paradisea,5:39 PM
9,9:06 AM,Ploceus rubiginosus,8:19 AM
10,9:47 AM,Echimys chrysurus,1:02 AM
11,5:09 PM,Graspus graspus,3:11 PM
12,9:15 PM,Tragelaphus strepsiceros,9:24 AM
13,7:13 AM,Phoeniconaias minor,1:57 PM
14,5:33 PM,Oreotragus oreotragus,7:26 AM
15,6:56 PM,Mycteria leucocephala,1:09 AM
16,11:18 AM,Spermophilus lateralis,9:50 PM
17,4:02 PM,Lama glama,6:15 AM
18,4:52 AM,Grus rubicundus,11:51 PM
19,4:21 AM,Castor fiber,6:21 PM
20,11:44 PM,Scolopax minor,3:38 AM
21,5:43 AM,unavailable,1:32 AM
22,7:17 PM,Laniaurius atrococcineus,8:32 AM
23,6:44 PM,Gyps bengalensis,5:50 AM
24,8:42 PM,Arctogalidia trivirgata,7:17 PM
25,9:53 PM,Microcebus murinus,6:10 AM
26,7:45 AM,Centrocercus urophasianus,6:16 AM
27,12:06 AM,Lasiorhinus latifrons,6:45 AM
28,12:27 AM,Podargus strigoides,3:02 PM
29,11:04 AM,Pavo cristatus,8:59 PM
30,8:39 AM,Acrantophis madagascariensis,12:37 AM
31,2:08 AM,Anastomus oscitans,9:34 PM
32,4:49 AM,Anas bahamensis,8:35 AM
33,11:03 AM,Ara chloroptera,5:05 AM
34,11:23 PM,Merops bullockoides,5:11 PM
35,10:04 PM,Crotalus cerastes,12:13 AM
36,8:26 AM,Cynictis penicillata,7:15 PM
37,5:21 PM,Laniarius ferrugineus,11:02 PM
38,3:33 AM,Oryx gazella,7:40 PM
39,5:35 PM,Tachyglossus aculeatus,10:56 PM
40,12:45 PM,Cebus nigrivittatus,3:00 PM
41,6:40 AM,Papio ursinus,4:51 PM
42,9:35 PM,Corallus hortulanus cooki,9:08 AM
43,6:34 AM,Macropus rufogriseus,12:23 PM
44,9:26 PM,Pelecanus occidentalis,1:10 PM
45,3:48 AM,Crocuta crocuta,12:47 PM
46,10:43 PM,Spermophilus tridecemlineatus,5:10 AM
47,10:08 PM,Macropus robustus,12:40 PM
48,4:48 PM,Phascogale calura,9:31 AM
49,9:01 AM,Carduelis uropygialis,10:58 PM
50,4:04 PM,Lorythaixoides concolor,10:35 AM
51,8:02 AM,Choloepus hoffmani,2:18 AM
52,8:33 AM,Heloderma horridum,8:01 PM
53,6:16 AM,Heloderma horridum,2:05 PM
54,11:22 PM,Spheniscus magellanicus,9:46 PM
55,5:11 PM,Giraffe camelopardalis,7:34 PM
56,3:11 AM,Phoenicopterus ruber,5:21 PM
57,5:53 AM,Pitangus sulphuratus,7:18 PM
58,11:48 AM,Eubalaena australis,5:09 PM
59,4:31 PM,unavailable,11:37 AM
60,12:13 AM,Spermophilus lateralis,7:03 AM
61,6:08 AM,Ceryle rudis,11:14 PM
62,11:49 AM,Echimys chrysurus,8:19 PM
63,5:46 AM,Centrocercus urophasianus,7:54 PM
64,2:44 PM,Zenaida asiatica,7:41 PM
65,3:34 PM,Deroptyus accipitrinus,12:12 AM
66,2:20 AM,Manouria emys,9:56 PM
67,9:40 PM,Dicrurus adsimilis,6:38 PM
68,10:35 PM,Gekko gecko,8:55 PM
69,10:22 PM,Butorides striatus,11:30 PM
70,4:46 AM,Merops nubicus,12:28 PM
71,2:35 PM,Aquila chrysaetos,1:38 AM
72,8:40 PM,Francolinus swainsonii,4:33 AM
73,12:55 PM,Ramphastos tucanus,12:59 PM
74,6:06 PM,Bugeranus caruncalatus,3:37 AM
75,10:59 AM,Gymnorhina tibicen,10:06 AM
76,10:52 AM,Pycnonotus nigricans,4:12 AM
77,1:42 PM,Podargus strigoides,8:34 AM
78,10:28 PM,Tamiasciurus hudsonicus,7:10 PM
79,9:13 AM,Columba livia,5:50 AM
80,7:08 PM,Callipepla gambelii,2:12 PM
81,6:05 AM,Numida meleagris,12:31 AM
82,5:39 AM,Ovis dalli stonei,6:50 AM
83,6:49 PM,Pseudocheirus peregrinus,4:30 AM
84,8:20 AM,Halcyon smyrnesis,5:21 AM
85,3:27 AM,Lybius torquatus,9:38 PM
86,1:13 PM,Macaca mulatta,2:22 AM
87,4:18 PM,Myotis lucifugus,4:11 AM
88,8:12 AM,Cebus albifrons,2:19 PM
89,10:58 AM,Chordeiles minor,9:42 PM
90,12:22 PM,Mazama gouazoubira,9:13 PM
91,12:49 PM,Canis lupus lycaon,6:07 PM
92,6:16 PM,Lasiodora parahybana,8:59 PM
93,8:57 PM,Cercopithecus aethiops,7:39 PM
94,11:51 AM,Choloepus hoffmani,5:59 PM
95,5:32 PM,Cereopsis novaehollandiae,5:34 PM
96,5:10 AM,Ciconia ciconia,6:12 AM
97,11:27 AM,Plocepasser mahali,6:41 AM
98,1:52 PM,Diomedea irrorata,6:27 PM
99,10:40 AM,Egretta thula,6:36 AM
100,1:41 AM,Coendou prehensilis,11:02 AM
101,10:04 PM,Limosa haemastica,5:33 AM
102,12:56 AM,Hymenolaimus malacorhynchus,2:24 AM
103,12:46 PM,Propithecus verreauxi,3:23 PM
104,1:58 AM,Meleagris gallopavo,10:39 PM
105,10:53 AM,Proteles cristatus,4:08 PM
106,12:12 PM,Ploceus intermedius,6:01 PM
107,5:41 PM,Hymenolaimus malacorhynchus,11:42 AM
108,9:50 PM,Marmota caligata,6:26 AM
109,3:44 PM,Bettongia penicillata,5:31 AM
110,2:33 AM,Coluber constrictor foxii,3:05 PM
111,8:54 AM,unavailable,1:01 PM
112,8:07 AM,Caiman crocodilus,6:03 AM
113,12:06 AM,Spermophilus tridecemlineatus,10:03 AM
114,3:12 PM,Equus burchelli,10:53 AM
115,6:38 PM,Isoodon obesulus,12:39 PM
116,7:20 AM,Stercorarius longicausus,5:51 PM
117,6:28 AM,Lemur fulvus,5:17 AM
118,6:03 AM,Felis caracal,11:26 PM
119,11:29 AM,Phasianus colchicus,12:45 AM
120,8:52 AM,Corvus albus,9:56 AM
121,2:24 PM,Aegypius tracheliotus,11:42 AM
122,9:27 PM,Anser caerulescens,10:51 AM
123,8:31 AM,Irania gutteralis,5:13 PM
124,10:34 PM,Aonyx cinerea,9:31 AM
125,10:45 AM,Phascolarctos cinereus,10:25 AM
126,5:10 AM,Estrilda erythronotos,11:17 PM
127,6:42 AM,Ovis ammon,4:36 AM
128,9:49 AM,Genetta genetta,4:13 PM
129,12:28 PM,Physignathus cocincinus,3:19 PM
130,3:54 PM,Paroaria gularis,10:09 AM
131,6:56 PM,Meles meles,6:40 PM
132,4:48 AM,Tapirus terrestris,3:54 PM
133,1:30 PM,Microcebus murinus,9:39 AM
134,12:39 AM,Creagrus furcatus,6:25 PM
135,6:57 PM,Semnopithecus entellus,12:23 PM
136,3:36 PM,Ratufa indica,12:18 AM
137,1:00 PM,Sterna paradisaea,4:25 AM
138,2:38 AM,Antidorcas marsupialis,4:34 PM
139,6:16 AM,Ara chloroptera,3:52 PM
140,10:45 PM,Tiliqua scincoides,8:18 PM
141,5:44 AM,Cathartes aura,10:58 AM
142,5:25 AM,Macropus agilis,10:01 AM
143,1:25 PM,Chelodina longicollis,2:50 AM
144,5:09 AM,Arctogalidia trivirgata,7:56 PM
145,12:54 PM,Gymnorhina tibicen,11:59 AM
146,2:09 AM,Tetracerus quadricornis,1:10 AM
147,9:32 AM,Uraeginthus angolensis,6:58 AM
148,5:24 PM,Aonyx capensis,2:31 PM
149,2:06 PM,unavailable,4:46 AM
150,7:26 AM,Anastomus oscitans,2:47 AM
151,10:12 PM,Paroaria gularis,1:53 PM
152,6:21 PM,Charadrius tricollaris,12:25 AM
153,2:10 AM,Limosa haemastica,4:36 AM
154,1:44 PM,unavailable,8:26 PM
155,5:25 PM,Halcyon smyrnesis,5:40 PM
156,2:10 AM,Cervus duvauceli,8:37 AM
157,12:31 PM,Bucephala clangula,9:32 PM
158,12:31 AM,Casmerodius albus,5:00 AM
159,9:45 AM,Tyto novaehollandiae,3:43 PM
160,8:46 PM,Chlidonias leucopterus,6:18 AM
161,8:06 PM,Mephitis mephitis,9:39 PM
162,5:38 PM,Trichoglossus chlorolepidotus,10:29 PM
163,8:09 PM,Streptopelia senegalensis,5:40 AM
164,2:06 AM,Ninox superciliaris,9:27 AM
165,8:34 PM,Alouatta seniculus,5:25 PM
166,7:52 AM,Plegadis falcinellus,3:34 PM
167,5:37 AM,Coluber constrictor,2:07 PM
168,4:03 PM,Butorides striatus,6:53 PM
169,8:01 PM,Tadorna tadorna,4:16 AM
170,12:04 PM,Tayassu tajacu,9:33 PM
171,12:44 AM,Carphophis sp.,8:16 PM
172,6:37 PM,Francolinus leucoscepus,10:47 PM
173,3:58 AM,Stercorarius longicausus,3:31 AM
174,5:50 AM,Anastomus oscitans,10:03 AM
175,10:03 PM,Hystrix cristata,5:15 AM
176,3:44 PM,Panthera pardus,10:05 PM
177,9:10 AM,Conolophus subcristatus,10:48 AM
178,1:51 AM,Canis aureus,10:02 PM
179,3:15 PM,Gymnorhina tibicen,3:20 PM
180,9:56 PM,Notechis semmiannulatus,8:01 AM
181,12:43 PM,Aonyx capensis,11:24 AM
182,8:42 PM,Sauromalus obesus,1:54 AM
183,1:20 AM,Cacatua galerita,10:50 PM
184,5:06 AM,Chlamydosaurus kingii,2:24 PM
185,4:17 PM,Alopochen aegyptiacus,9:47 AM
186,6:58 PM,Neotis denhami,7:31 PM
187,8:07 AM,Uraeginthus angolensis,3:46 PM
188,3:34 PM,Tamiasciurus hudsonicus,6:12 AM
189,11:58 AM,Tauraco porphyrelophus,6:45 AM
190,5:08 PM,Naja haje,10:20 AM
191,5:23 AM,Larus dominicanus,4:32 AM
192,1:55 PM,Egretta thula,6:25 PM
193,1:35 PM,Uraeginthus angolensis,2:22 PM
194,8:05 PM,Choriotis kori,8:19 AM
195,6:02 AM,Hyaena brunnea,9:21 AM
196,5:34 PM,Coluber constrictor foxii,9:03 PM
197,4:19 AM,Paradoxurus hermaphroditus,1:20 AM
198,12:36 AM,Pavo cristatus,1:35 PM
199,3:14 PM,Trichosurus vulpecula,5:51 AM
200,10:48 AM,Cereopsis novaehollandiae,8:55 AM
201,12:46 AM,Stercorarius longicausus,1:48 AM
202,7:02 AM,Coluber constrictor,7:29 PM
203,8:06 AM,Psophia viridis,10:27 PM
204,7:33 PM,Gymnorhina tibicen,12:09 AM
205,7:35 PM,Geochelone radiata,5:22 AM
206,11:17 PM,Libellula quadrimaculata,12:43 PM
207,11:55 AM,Cervus canadensis,6:25 AM
208,8:33 AM,Parus atricapillus,8:31 AM
209,12:53 PM,Genetta genetta,1:13 AM
210,1:49 PM,Coluber constrictor,4:40 AM
211,11:26 PM,Cochlearius cochlearius,3:56 PM
212,1:27 PM,Centrocercus urophasianus,9:55 AM
213,11:41 PM,Anser caerulescens,2:20 PM
214,3:36 PM,Tayassu pecari,3:22 AM
215,6:59 AM,Canis mesomelas,6:04 AM
216,12:30 PM,Neotis denhami,9:30 AM
217,4:02 PM,Phoeniconaias minor,5:11 AM
218,7:57 PM,Felis silvestris lybica,7:34 PM
219,9:29 AM,Acrantophis madagascariensis,7:45 AM
220,12:52 AM,Alces alces,10:24 PM
221,7:45 AM,Macropus rufogriseus,1:10 PM
222,9:11 AM,Bradypus tridactylus,10:16 PM
223,11:13 AM,Ephippiorhynchus mycteria,12:49 AM
224,10:30 AM,Didelphis virginiana,4:52 AM
225,1:37 AM,Potorous tridactylus,10:44 AM
226,10:18 PM,Laniarius ferrugineus,10:18 AM
227,11:15 PM,Ursus americanus,9:32 AM
228,1:19 AM,Phalacrocorax carbo,2:33 PM
229,9:46 AM,Iguana iguana,4:11 PM
230,3:13 PM,Phoenicopterus chilensis,3:48 PM
231,12:54 AM,Phascogale tapoatafa,2:27 AM
232,7:41 AM,Tursiops truncatus,1:15 AM
233,12:07 PM,Buteo regalis,10:35 AM
234,5:40 PM,Anastomus oscitans,5:15 PM
235,5:35 AM,Ratufa indica,12:23 AM
236,2:53 PM,Climacteris melanura,9:40 PM
237,1:37 PM,Pavo cristatus,4:51 AM
238,12:53 AM,Pelecanus occidentalis,8:39 PM
239,5:09 AM,Milvus migrans,2:47 PM
240,6:40 PM,Phacochoerus aethiopus,6:31 AM
241,11:12 PM,Crotalus cerastes,12:34 AM
242,3:39 AM,Bettongia penicillata,5:24 PM
243,7:31 AM,Ceratotherium simum,1:13 AM
244,9:56 AM,Carphophis sp.,3:24 PM
245,6:10 AM,Mycteria leucocephala,8:05 PM
246,2:41 AM,Nasua narica,12:22 AM
247,12:46 PM,Smithopsis crassicaudata,9:39 AM
248,12:59 AM,Ramphastos tucanus,10:30 PM
249,2:51 PM,Geochelone elephantopus,12:12 AM
250,9:57 PM,Crotalus triseriatus,3:38 AM
251,1:17 AM,Elephas maximus bengalensis,8:47 AM
252,7:25 PM,Manouria emys,12:32 PM
253,8:17 PM,Struthio camelus,12:14 AM
254,1:55 AM,Rhabdomys pumilio,5:48 PM
255,12:42 PM,Priodontes maximus,4:26 AM
256,8:04 PM,Macropus agilis,7:39 AM
257,6:49 PM,Leipoa ocellata,10:09 AM
258,11:24 PM,Libellula quadrimaculata,1:48 AM
259,11:28 PM,Rhea americana,6:26 AM
260,6:01 AM,Leptoptilos crumeniferus,3:13 AM
261,8:30 PM,Cygnus buccinator,1:24 PM
262,8:32 PM,Sciurus vulgaris,10:40 AM
263,5:31 PM,Stenella coeruleoalba,12:53 AM
264,5:15 AM,Procyon cancrivorus,3:36 AM
265,5:35 PM,Salvadora hexalepis,2:16 PM
266,4:45 PM,Otocyon megalotis,11:06 AM
267,12:31 AM,Hystrix indica,8:36 PM
268,7:39 AM,Pycnonotus barbatus,12:17 PM
269,4:23 PM,Phalacrocorax brasilianus,10:12 PM
270,10:13 PM,Colaptes campestroides,1:52 AM
271,8:16 PM,Actophilornis africanus,8:42 AM
272,3:54 AM,Cynictis penicillata,9:10 PM
273,12:48 AM,Lorythaixoides concolor,6:50 AM
274,3:38 PM,Oryx gazella callotis,8:08 PM
275,8:19 PM,Prionace glauca,2:11 AM
276,8:52 AM,Macropus agilis,3:54 AM
277,9:49 PM,Butorides striatus,7:24 AM
278,2:51 PM,Castor canadensis,5:38 AM
279,3:47 PM,Butorides striatus,10:40 PM
280,6:35 AM,Perameles nasuta,6:12 AM
281,3:21 AM,Acanthaster planci,9:47 PM
282,6:00 AM,Macaca mulatta,6:19 PM
283,8:53 AM,Lama pacos,5:14 AM
284,12:39 AM,Felis chaus,2:42 PM
285,2:45 PM,Mabuya spilogaster,6:20 PM
286,11:55 AM,Himantopus himantopus,2:30 AM
287,3:25 AM,Trachyphonus vaillantii,8:08 AM
288,2:49 PM,Laniarius ferrugineus,5:21 PM
289,12:47 AM,Butorides striatus,11:35 AM
290,9:41 AM,Semnopithecus entellus,11:38 PM
291,6:33 PM,Proteles cristatus,12:51 PM
292,7:23 PM,Zalophus californicus,7:41 AM
293,1:32 PM,Cathartes aura,4:19 AM
294,2:01 PM,Aonyx capensis,4:56 PM
295,6:55 AM,Chordeiles minor,10:23 AM
296,1:57 AM,Seiurus aurocapillus,5:53 AM
297,7:46 AM,Philetairus socius,5:32 AM
298,9:37 PM,Choloepus hoffmani,4:20 AM
299,1:58 AM,Crax sp.,9:48 AM
300,9:55 AM,Macropus fuliginosus,11:42 AM
301,3:37 PM,Dromaeus novaehollandiae,4:28 AM
302,1:40 PM,Pseudocheirus peregrinus,6:09 PM
303,8:43 AM,Aquila chrysaetos,5:17 AM
304,1:32 AM,Tadorna tadorna,12:38 AM
305,12:36 PM,Gabianus pacificus,10:47 AM
306,10:54 PM,Mazama gouazoubira,6:51 PM
307,6:05 PM,Chauna torquata,3:00 PM
308,4:12 PM,Vanessa indica,6:14 PM
309,10:14 AM,Graspus graspus,10:47 AM
310,12:55 AM,Cebus nigrivittatus,11:57 PM
311,9:22 AM,Spheniscus mendiculus,7:31 AM
312,9:05 AM,Orcinus orca,12:30 AM
313,5:12 PM,Felis wiedi or Leopardus weidi,1:50 PM
314,4:06 PM,Anas bahamensis,6:08 PM
315,3:28 AM,Bison bison,8:47 PM
316,11:47 AM,Delphinus delphis,12:34 AM
317,8:39 AM,Ursus americanus,6:04 AM
318,1:59 PM,Speotyte cuniculata,6:22 PM
319,2:03 PM,Drymarchon corias couperi,9:58 AM
320,1:33 PM,Mycteria ibis,12:05 PM
321,3:08 PM,Dasyurus maculatus,11:35 PM
322,7:42 PM,Naja haje,8:35 AM
323,1:45 AM,unavailable,2:29 AM
324,1:11 PM,Tragelaphus strepsiceros,8:40 PM
325,2:05 AM,Felis pardalis,2:19 AM
326,1:34 AM,Meles meles,7:01 PM
327,10:54 AM,Damaliscus dorcas,1:53 AM
328,1:30 PM,Lamprotornis chalybaeus,6:40 AM
329,2:11 PM,Crocodylus niloticus,1:29 PM
330,12:00 AM,Pseudalopex gymnocercus,11:32 PM
331,4:24 AM,Leptoptilos crumeniferus,8:38 AM
332,4:42 AM,Agelaius phoeniceus,8:49 PM
333,6:06 AM,Galictis vittata,7:10 PM
334,11:25 PM,Melophus lathami,12:35 AM
335,9:35 AM,Butorides striatus,6:52 PM
336,11:39 PM,Panthera onca,9:03 AM
337,8:37 AM,unavailable,4:12 PM
338,1:12 AM,Corvus brachyrhynchos,9:24 AM
339,7:47 AM,Uraeginthus granatina,10:50 PM
340,6:28 AM,Pteronura brasiliensis,2:04 AM
341,3:39 AM,Ursus maritimus,9:19 PM
342,9:30 AM,Anas bahamensis,12:57 AM
343,6:20 AM,Mirounga angustirostris,4:50 AM
344,3:26 AM,Graspus graspus,9:03 PM
345,1:32 AM,Recurvirostra avosetta,8:13 PM
346,3:33 PM,Marmota flaviventris,7:30 PM
347,2:28 PM,Notechis semmiannulatus,7:29 PM
348,7:36 PM,Alopochen aegyptiacus,5:22 AM
349,10:54 PM,Macropus rufus,4:17 AM
350,3:28 AM,Phoenicopterus ruber,5:19 AM
351,7:58 PM,Phalacrocorax niger,2:29 PM
352,11:12 PM,Butorides striatus,11:18 AM
353,4:15 AM,Conolophus subcristatus,8:34 PM
354,5:29 AM,Alopochen aegyptiacus,9:25 AM
355,6:38 AM,Phalacrocorax niger,4:35 PM
356,7:53 AM,Streptopelia decipiens,3:12 PM
357,3:08 AM,Microcebus murinus,2:57 PM
358,2:16 AM,Cyrtodactylus louisiadensis,11:32 PM
359,2:29 PM,Macaca radiata,11:53 AM
360,12:31 PM,Canis aureus,5:53 PM
361,12:54 PM,Spilogale gracilis,1:57 PM
362,4:28 PM,Eubalaena australis,4:41 AM
363,1:51 PM,Mirounga angustirostris,4:16 PM
364,2:55 AM,Parus atricapillus,5:22 PM
365,7:19 AM,Hyaena brunnea,2:51 AM
366,2:04 PM,unavailable,5:19 AM
367,12:09 AM,Centrocercus urophasianus,3:14 AM
368,10:00 AM,Chauna torquata,11:26 PM
369,1:49 PM,Oreamnos americanus,1:51 PM
370,5:17 PM,Fratercula corniculata,3:15 PM
371,5:11 AM,Eurocephalus anguitimens,5:36 AM
372,12:11 PM,Herpestes javanicus,7:34 PM
373,12:47 PM,Gymnorhina tibicen,7:17 AM
374,9:06 AM,Choriotis kori,11:03 PM
375,2:08 AM,Ursus arctos,9:20 PM
376,11:31 PM,Leptoptilos crumeniferus,2:31 PM
377,10:24 AM,Corvus albus,3:28 AM
378,3:21 PM,Aonyx cinerea,11:04 PM
379,11:11 AM,Chloephaga melanoptera,3:53 AM
380,1:51 AM,Cyrtodactylus louisiadensis,1:29 PM
381,3:37 PM,Pseudocheirus peregrinus,4:34 AM
382,2:17 AM,Chauna torquata,8:48 PM
383,5:47 PM,Ovis ammon,6:09 AM
384,2:09 PM,Mazama gouazoubira,9:13 PM
385,10:14 PM,Calyptorhynchus magnificus,12:43 AM
386,8:45 PM,Agelaius phoeniceus,4:34 PM
387,2:24 PM,Anthropoides paradisea,9:07 PM
388,12:47 PM,Platalea leucordia,10:04 AM
389,11:34 PM,Gyps fulvus,5:00 PM
390,8:38 AM,Neotoma sp.,6:05 PM
391,1:48 PM,Uraeginthus granatina,1:14 AM
392,1:07 AM,Amphibolurus barbatus,10:15 PM
393,12:42 PM,Cochlearius cochlearius,2:03 PM
394,11:22 PM,Castor fiber,12:52 PM
395,5:21 AM,Cynictis penicillata,5:36 PM
396,7:00 AM,Hippotragus niger,3:27 AM
397,1:48 PM,Ceratotherium simum,5:48 PM
398,1:22 AM,Hydrochoerus hydrochaeris,10:49 AM
399,5:23 AM,unavailable,10:37 PM
400,6:35 AM,Francolinus coqui,9:18 AM
401,5:36 PM,Echimys chrysurus,11:52 PM
402,12:46 AM,Cathartes aura,5:00 AM
403,12:24 PM,Odocoilenaus virginianus,12:26 AM
404,7:03 AM,Hystrix indica,6:41 AM
405,10:20 PM,Bison bison,1:39 PM
406,9:58 PM,unavailable,4:19 PM
407,5:11 PM,Theropithecus gelada,6:47 PM
408,3:55 AM,Nesomimus trifasciatus,8:19 PM
409,3:50 PM,Dendrohyrax brucel,11:00 PM
410,8:48 PM,Estrilda erythronotos,9:50 PM
411,8:48 AM,Cereopsis novaehollandiae,2:17 PM
412,5:30 AM,Bradypus tridactylus,3:22 PM
413,1:13 PM,Creagrus furcatus,7:25 PM
414,12:37 PM,Leptoptilos crumeniferus,2:32 AM
415,5:04 PM,Eudromia elegans,8:43 AM
416,3:17 PM,Tachyglossus aculeatus,12:32 PM
417,8:04 PM,Hyaena brunnea,4:56 AM
418,7:34 PM,Erethizon dorsatum,4:27 PM
419,8:49 PM,Francolinus coqui,10:46 PM
420,11:23 AM,Eremophila alpestris,1:22 PM
421,11:32 AM,Neotoma sp.,10:37 AM
422,5:04 AM,Dendrocitta vagabunda,10:13 PM
423,3:21 AM,Pycnonotus nigricans,7:47 AM
424,3:24 AM,Spermophilus armatus,7:13 AM
425,9:48 AM,Macaca nemestrina,3:44 AM
426,9:13 PM,Pavo cristatus,7:05 AM
427,9:28 AM,Haematopus ater,5:57 PM
428,1:34 PM,Felis silvestris lybica,11:30 PM
429,12:27 PM,Anthropoides paradisea,12:28 PM
430,5:02 AM,Gekko gecko,8:31 AM
431,8:54 PM,Dasyurus viverrinus,9:37 AM
432,4:10 AM,Cebus apella,9:11 PM
433,3:53 AM,Ammospermophilus nelsoni,5:19 AM
434,3:31 PM,Anthropoides paradisea,6:57 PM
435,1:52 AM,Spheniscus magellanicus,5:34 PM
436,10:52 AM,Macropus robustus,2:51 PM
437,12:06 PM,Felis wiedi or Leopardus weidi,4:19 PM
438,6:41 PM,Tachyglossus aculeatus,11:43 AM
439,4:48 AM,Neotis denhami,12:36 PM
440,6:00 AM,Equus burchelli,5:32 PM
441,5:37 AM,Pteronura brasiliensis,9:46 AM
442,7:11 AM,Tauraco porphyrelophus,12:06 AM
443,4:09 AM,Platalea leucordia,6:49 PM
444,3:00 AM,Larus novaehollandiae,8:45 PM
445,6:20 PM,Panthera leo,10:30 PM
446,6:38 PM,Macropus fuliginosus,5:25 AM
447,9:25 AM,Pycnonotus nigricans,2:16 AM
448,4:19 PM,Perameles nasuta,8:11 PM
449,11:28 AM,Cyrtodactylus louisiadensis,9:30 PM
450,9:13 PM,Anthropoides paradisea,7:52 AM
451,3:18 AM,Elephas maximus bengalensis,11:40 PM
452,10:56 PM,Columba livia,12:25 AM
453,1:33 AM,Halcyon smyrnesis,6:20 AM
454,10:35 AM,Antilope cervicapra,3:50 AM
455,9:11 AM,unavailable,1:10 AM
456,2:11 AM,Antidorcas marsupialis,11:48 PM
457,3:45 PM,Cervus duvauceli,1:51 PM
458,3:06 PM,Ara chloroptera,10:50 AM
459,10:17 AM,Smithopsis crassicaudata,4:04 PM
460,10:32 AM,Deroptyus accipitrinus,2:48 AM
461,11:17 AM,Echimys chrysurus,4:42 PM
462,1:14 AM,Martes pennanti,11:16 PM
463,10:06 PM,Sciurus vulgaris,6:51 PM
464,1:05 PM,Ardea golieth,12:50 PM
465,2:37 PM,Boa constrictor mexicana,10:48 AM
466,6:35 PM,Kobus defassa,2:27 PM
467,1:51 AM,Balearica pavonina,7:58 PM
468,11:41 PM,Buteo galapagoensis,4:52 PM
469,5:24 PM,Isoodon obesulus,2:47 AM
470,7:19 PM,Tayassu tajacu,2:17 PM
471,10:51 PM,Corvus albus,4:59 AM
472,11:46 AM,Odocoilenaus virginianus,12:35 PM
473,5:05 PM,Macropus parryi,6:31 PM
474,3:17 AM,Oreotragus oreotragus,1:39 PM
475,3:06 AM,Castor fiber,3:37 PM
476,3:29 PM,Damaliscus dorcas,8:42 AM
477,9:55 AM,Mirounga angustirostris,6:59 PM
478,10:35 AM,Ovis canadensis,11:27 PM
479,5:33 PM,unavailable,4:36 AM
480,10:08 PM,Taurotagus oryx,2:02 AM
481,6:18 PM,Tockus flavirostris,12:04 PM
482,11:54 PM,Papio cynocephalus,6:32 AM
483,11:24 AM,Neotis denhami,12:21 AM
484,7:42 PM,Epicrates cenchria maurus,8:53 PM
485,11:11 AM,Haliaeetus leucoryphus,9:31 AM
486,3:57 PM,Trichoglossus haematodus moluccanus,11:10 AM
487,3:06 AM,Dusicyon thous,2:30 AM
488,8:31 AM,Butorides striatus,1:07 PM
489,7:40 PM,Bubalus arnee,11:12 PM
490,11:28 PM,Coluber constrictor foxii,2:06 AM
491,7:17 PM,Ovis dalli stonei,11:08 AM
492,2:33 AM,Felis libyca,8:06 PM
493,4:45 AM,Kobus leche robertsi,9:07 PM
494,5:24 PM,Nyctereutes procyonoides,11:34 PM
495,11:11 PM,Ursus americanus,1:20 PM
496,3:31 PM,Ephippiorhynchus mycteria,3:05 AM
497,6:41 AM,Acanthaster planci,12:48 AM
498,5:21 PM,Cercatetus concinnus,12:22 PM
499,4:59 PM,Geococcyx californianus,4:36 PM
500,1:24 PM,Sagittarius serpentarius,1:47 PM
