address_id,city,number,street
1,Koszalin,0570,Ulica Prudnicka
2,Zielona Gora,161,Ulica Dworcowa
3,Krosno,653,Ulica Stanislawa Staszica
4,Gorzow Wielkopolski,8646,Ulica ks. Jerzego Popieluszki
5,Leszno,6370,Ulica Aleksandra Fredry
6,Stargard,876,Ulica Pomorska
7,Krakow,6,Ulica Obozowa
8,Zamosc,0445,Ulica Bracka
9,Przemysl,2841,Ulica Jana Kasprowicza
10,Wloclawek,56193,Ulica Strzelecka
11,Zielona Gora,8819,Ulica Bialoskornicza
12,Zamosc,8,Ulica Fryderyka Chopina
13,Plock,05,Ulica Wojska Polskiego
14,Tomaszow Mazowiecki,65,Ulica Armii Krajowej
15,Wieliczka,7,Ulica Lechicka
16,Rzesow,491,Ulica Oswiecimska
17,Zakopane,57,Ulica Grodzka
18,Katowice,89935,Ulica Szpitalna
19,Gdybia,46477,Ulica Jozefa Bema
20,Czestochowa,9585,Ulica Artura Grottgera
21,Gdybia,3594,Ulica Browarna
22,Krosno,8,Ulica Sienna
23,Zamosc,691,Ulica Jozefa Poniatowskiego
24,Legnica,296,Ulica Sienna
25,Leszno,2,Ulica Wroclawska
26,Wroclaw,36238,Ulica Wolnosci
27,Konin,1734,Ulica Gliwicka
28,Szczecin,72071,Ulica Nowa
29,Nowy Sacz,9,Ulica Wawelska
30,Przemysl,49,Ulica Bracka
31,Olsztyn,8043,Ulica Kolejowa
32,Nowy Sacz,19,Ulica Szczecinska
33,Wloclawek,76,Ulica Grodzka
34,Leszno,5,Ulica Rycerska
35,Sopot,6,Ulica Gdanska
36,Biala Podlasa,31149,Ulica Polnocna
37,Nowy Sacz,738,Ulica Dworcowa
38,Nowy Sacz,6941,Ulica Zwyciestwa
39,Lodz,5,Ulica Jacka Malczewskiego
40,Katowice,6,Ulica Zwierzyniecka
41,Sandomierz,58,Aleja Legionow
42,Przemysl,27868,Ulica Zwyciestwa
43,Lodz,07996,Ulica Bohaterow Monte Cassino
44,Wroclaw,23,Ulica Jana Pawla II
45,Kalisz,6847,Ulica Karmelicka
46,Pila,67,Ulica Wladyslawa Sikorskiego
47,Warszawa,7,Ulica Jozefa Poniatowskiego
48,Zamosc,93065,Ulica Polnocna
49,Olsztyn,6,Ulica Juliusza Slowackiego
50,Zamosc,67389,Ulica Gnieznienska
51,Czestochowa,47915,Ulica Brzeska
52,Radom,2,Ulica Armii Krajowej
53,Kalisz,2,Ulica Wincentego Witosa
54,Chelm,1,Ulica Szewska
55,Wroclaw,5,Ulica Gliwicka
56,Radom,5520,Ulica 11 Listopada
57,Lodz,61357,Ulica Ogrodowa
58,Stargard,11,Ulica Czestochowska
59,Wieliczka,607,Ulica Browarna
60,Pila,78,Ulica Pomorska
61,Kielce,162,Ulica Wita Stwosza
62,Szczecin,5,Ulica Wawelska
63,Kalisz,7571,Ulica Armii Krajowej
64,Tarnow,9573,Ulica Zamkowa
65,Olsztyn,5571,Ulica Katedralna
66,Nowy Sacz,4774,Ulica Bytomska
67,Lodz,76975,Ulica Siemianowicka
68,Nowy Sacz,34,Ulica Gdanska
69,Biala Podlasa,355,Ulica Zamkowa
70,Bialystok,015,Ulica Pocztowa
71,Zakopane,95046,Ulica Teatralna
72,Katowice,6227,Ulica Jozefa Poniatowskiego
73,Kalisz,3395,Ulica Jana z Kolna
74,Biala Podlasa,23876,Ulica Klasztorna
75,Jaslo,51,Ulica Stefana Zeromskiego
76,Poznan,9932,Ulica Lechicka
77,Lublin,4,Ulica Jana III Sobieskiego
78,Gniezno,345,Ulica Stefana Czarnieckiego
79,Katowice,32153,Ulica Golebia
80,Chelm,19,Ulica Henryka Sienkiewicza
81,Legnica,66348,Ulica Stefana Starzynskiego
82,Plock,25620,Ulica Karola Olszewskiego
83,Bialystok,193,Ulica Polnocna
84,Wroclaw,0,Ulica Stefana Starzynskiego
85,Legnica,013,Ulica Ignacego Paderewskiego
86,Pila,4,Aleja Wolnosci
87,Tomaszow Mazowiecki,812,Ulica Siemianowicka
88,Przemysl,1,Ulica Opolska
89,Kielce,9,Ulica Uniwersytecka
90,Szczecin,793,Ulica Zeglarska
91,Rzesow,982,Ulica Okopowa
92,Lodz,7,Ulica Widok
93,Biala Podlasa,3,Ulica Florianska
94,Przemysl,42,Ulica Katedralna
95,Bielski-Biala,63516,Ulica Starowiejska
96,Jaslo,31626,Ulica Jana Kilinskiego
97,Tarnow,26,Ulica Krolewska
98,Wieliczka,6198,Ulica Zachodnia
99,Bialystok,57,Ulica Fabryczna
100,Krosno,53889,Ulica Senatorska
101,Pila,420,Ulica Tadeusza Kosciuszki
102,Leszno,6453,Ulica Stanislawa Staszica
103,Szczecin,490,Ulica Jagiellonska
104,Lodz,58959,Ulica Kijowska
105,Katowice,74048,Ulica Poznanska
106,Kielce,0,Ulica Wita Stwosza
107,Czestochowa,257,Ulica Zeglarska
108,Tarnow,290,Ulica Gdanska
109,Gdybia,2048,Ulica Grunwaldzka
110,Lublin,9,Ulica Boleslawa Chrobrego
111,Koszalin,90,Ulica Wawelska
112,Koszalin,2070,Aleja Niepodleglosci
113,Koszalin,2529,Ulica Stanislawa Malachowskiego
114,Gdansk,36069,Ulica Jana III Sobieskiego
115,Kielce,1116,Ulica Chlodna
116,Leszno,851,Ulica Piekna
117,Gdansk,68911,Ulica Armii Krajowej
118,Legnica,37,Ulica Krolowej Jadwigi
119,Olsztyn,5968,Ulica Armii Krajowej
120,Bialystok,10780,Ulica Zachodnia
121,Poznan,4942,Ulica Jana III Sobieskiego
122,Nowy Sacz,31,Ulica Andrzeja Struga
123,Kielce,6,Ulica Piekna
124,Krakow,21193,Ulica Wladyslawa Reymonta
125,Biala Podlasa,231,Ulica Gnieznienska
126,Krosno,5805,Aleja Legionow
127,Olsztyn,33,Ulica Jezuicka
128,Legnica,74,Ulica Chmielna
129,Plock,7438,Ulica Piwna
130,Gorzow Wielkopolski,820,Ulica sw. Barbary
131,Bialystok,488,Ulica Kijowska
132,Sandomierz,00135,Ulica Karola Swierczewskiego
133,Przemysl,982,Ulica 3 Maja
134,Zamosc,4174,Ulica Wincentego Witosa
135,Czestochowa,51097,Ulica Hrubieszowska
136,Radom,7,Ulica Krolewska
137,Krosno,561,Ulica Swietokrzyska
138,Zielona Gora,064,Ulica Garbarska
139,Rzesow,05086,Ulica Kanonia
140,Nowy Sacz,2228,Ulica Polnocna
141,Koszalin,9913,Ulica Bozego Ciala
142,Zielona Gora,441,Ulica Piwna
143,Lublin,09,Ulica Mikolaja Kopernika
144,Lublin,0452,Ulica Towarowa
145,Lodz,88,Ulica Gliwicka
146,Kielce,57157,Ulica Grunwaldzka
147,Kielce,03941,Ulica Nowa
148,Krakow,6743,Ulica Jana z Kolna
149,Warszawa,919,Ulica Wawelska
150,Gdybia,8,Ulica Franciszkanska
151,Tarnow,4870,Ulica Bozego Ciala
152,Jaslo,72256,Ulica Nowa
153,Lodz,7,Ulica Francuska
154,Gdybia,66,Ulica Rajska
155,Bielski-Biala,31,Ulica Grodzka
156,Lodz,0503,Ulica Mlynska
157,Sopot,454,Ulica Karola Olszewskiego
158,Koszalin,654,Ulica Wladyslawa Reymonta
159,Gniezno,271,Ulica Starowiejska
160,Leszno,18,Ulica Poznanska
161,Biala Podlasa,360,Ulica Stanislawa Moniuszki
162,Kalisz,5,Ulica Gliwicka
163,Wroclaw,5,Ulica Swietokrzyska
164,Biala Podlasa,959,Ulica Lodzka
165,Krakow,07695,Ulica Mikolaja Kopernika
166,Katowice,1,Ulica Stefana Zeromskiego
167,Tomaszow Mazowiecki,3,Ulica 1 Maja
168,Gniezno,67,Ulica Stefana Zeromskiego
169,Szczecin,09446,Ulica Rycerska
170,Chelm,69,Ulica Widok
171,Gdansk,53,Ulica Zeglarska
172,Wloclawek,99,Ulica Jagiellonska
173,Konin,5618,Ulica Walowa
174,Krosno,49,Ulica Krupnicza
175,Zielona Gora,8816,Ulica Stefana Czarnieckiego
176,Bielski-Biala,48,Ulica Niestachowska
177,Gorzow Wielkopolski,3,Ulica Wiejska
178,Wroclaw,31,Ulica Stefana Starzynskiego
179,Plock,958,Ulica Piekarska
180,Warszawa,483,Ulica Torunska
181,Katowice,0,Ulica Chorzowska
182,Plock,5,Ulica Jana Kasprowicza
183,Plock,3,Ulica Poznanska
184,Krosno,08359,Ulica Siemianowicka
185,Wieliczka,38437,Ulica Boleslawa Limanowskiego
186,Biala Podlasa,0312,Ulica Wladyslawa Reymonta
187,Katowice,62,Ulica Siemianowicka
188,Wloclawek,85,Ulica Jacka Malczewskiego
189,Rzesow,516,Ulica Lipowa
190,Nowy Sacz,1661,Ulica Stefana Zeromskiego
191,Koszalin,9,Ulica Krupnicza
192,Olsztyn,1847,Ulica Franciszkanska
193,Bialystok,70468,Ulica Bozego Ciala
194,Kielce,3869,Ulica Rwanska
195,Katowice,2,Ulica Ignacego Paderewskiego
196,Leszno,7419,Ulica Wincentego Janasa
197,Czestochowa,3,Ulica Beskidzka
198,Koszalin,9808,Ulica Lakowa
199,Nowy Sacz,30328,Ulica Mariacka
200,Gdybia,5,Ulica Towarowa
201,Sopot,06372,Ulica Zytnia
202,Tarnow,25,Ulica Wolnosci
203,Bielski-Biala,48833,Ulica Adama Mickiewicza
204,Olsztyn,14052,Ulica Gdanska
205,Poznan,4,Aleja Wolnosci
206,Zakopane,486,Ulica Dworcowa
207,Zamosc,7742,Ulica Bytomska
208,Gorzow Wielkopolski,30,Aleja Wolnosci
209,Wieliczka,79573,Ulica Zeglarska
210,Bielski-Biala,161,Ulica Stefana Czarnieckiego
211,Tarnow,5249,Ulica Bartosza Glowackiego
212,Gdybia,275,Ulica Lubelska
213,Gdybia,51,Ulica Stanislawa Moniuszki
214,Gdansk,6,Ulica Wladyslawa Reymonta
215,Wloclawek,992,Ulica Stefana Zeromskiego
216,Tomaszow Mazowiecki,5660,Ulica Niestachowska
217,Jaslo,9,Ulica Wiejska
218,Zielona Gora,4885,Ulica Krucza
219,Wieliczka,187,Ulica Bernardynska
220,Radom,8566,Ulica Rwanska
221,Jaslo,3398,Ulica Ogrodowa
222,Olsztyn,07,Ulica Dworcowa
223,Gorzow Wielkopolski,0,Ulica Chorzowska
224,Czestochowa,125,Ulica Jozefa Poniatowskiego
225,Tarnow,5250,Ulica Franciszkanska
226,Wroclaw,87156,Ulica Gliwicka
227,Rzesow,0,Ulica Krakowska
228,Leszno,20,Ulica Gabriela Narutowicza
229,Stargard,62752,Ulica Jozefa Pilsudskiego
230,Lodz,2604,Ulica Tadeusza Kosciuszki
231,Bialystok,8285,Ulica Lwowska
232,Tomaszow Mazowiecki,0,Ulica Bankowa
233,Gorzow Wielkopolski,18,Ulica gen. Wladyslawa Andersa
234,Lodz,3,Ulica Lakowa
235,Olsztyn,7411,Ulica Warszawska
236,Stargard,95,Ulica Jana III Sobieskiego
237,Tomaszow Mazowiecki,96,Ulica Jozefa Bema
238,Tarnow,6,Ulica Hrubieszowska
239,Warszawa,4,Aleja Niepodleglosci
240,Radom,5,Ulica Pijarska
241,Poznan,135,Ulica Farna
242,Stargard,5,Ulica Mikolaja Reja
243,Sopot,2,Ulica Mlynska
244,Gniezno,94756,Ulica Krucza
245,Nowy Sacz,03,Ulica Browarna
246,Kalisz,8616,Ulica Armii Krajowej
247,Sopot,013,Ulica Jana III Sobieskiego
248,Wloclawek,4,Ulica 3 Maja
249,Kielce,4202,Ulica Kamienna
250,Czestochowa,5558,Ulica Wolnosci
251,Bielski-Biala,8,Ulica Jana Pawla II
252,Tomaszow Mazowiecki,7630,Ulica Ciasna
253,Gniezno,20024,Ulica Kanonia
254,Plock,2424,Ulica gen. Wladyslawa Andersa
255,Sopot,5,Ulica Lipowa
256,Olsztyn,923,Ulica Szpitalna
257,Biala Podlasa,973,Ulica Juliusza Slowackiego
258,Sopot,894,Ulica Szczecinska
259,Rzesow,78028,Ulica Uniwersytecka
260,Jaslo,953,Ulica Armii Krajowej
261,Zakopane,2969,Ulica ks. Jerzego Popieluszki
262,Krosno,21533,Ulica Stanislawa Staszica
263,Szczecin,99787,Ulica Wroclawska
264,Poznan,5,Ulica Jana III Sobieskiego
265,Wieliczka,6273,Ulica Jana Henryka Dabrowskiego
266,Bielski-Biala,3226,Ulica Krolowej Jadwigi
267,Czestochowa,91,Ulica Rwanska
268,Koszalin,3759,Ulica Obornicka
269,Szczecin,72,Ulica Slaska
270,Legnica,4535,Ulica Pulawska
271,Przemysl,11523,Ulica Mikolaja Kopernika
272,Wloclawek,7,Ulica Obozowa
273,Stargard,81,Ulica Bozego Ciala
274,Gorzow Wielkopolski,0491,Ulica Pocztowa
275,Biala Podlasa,25913,Ulica Fryderyka Chopina
276,Bialystok,57947,Ulica Wiejska
277,Lodz,87911,Ulica Karola Swierczewskiego
278,Krakow,4,Ulica Jozefa Pilsudskiego
279,Zakopane,55025,Ulica Boleslawa Chrobrego
280,Jaslo,9058,Aleja Niepodleglosci
281,Lodz,539,Ulica Garncarska
282,Biala Podlasa,70,Ulica Bozego Ciala
283,Konin,0381,Ulica Graniczna
284,Sandomierz,15560,Ulica Krolewska
285,Gorzow Wielkopolski,073,Ulica Stanislawa Staszica
286,Pila,1,Ulica Jacka Malczewskiego
287,Zamosc,2808,Ulica Swietojanska
288,Rzesow,36,Ulica Bialoskornicza
289,Zamosc,3,Ulica Slaska
290,Leszno,0984,Ulica Browarna
291,Tarnow,879,Ulica ks. Jerzego Popieluszki
292,Zakopane,8337,Ulica Katowicka
293,Pila,48,Ulica Stefana Starzynskiego
294,Koszalin,9862,Ulica Lipowa
295,Rzesow,4258,Ulica Krakowska
296,Wroclaw,7166,Ulica Sienna
297,Krosno,50,Ulica Dworcowa
298,Wieliczka,1909,Ulica Krolowej Jadwigi
299,Katowice,106,Ulica Graniczna
300,Sandomierz,96,Ulica Jozefa Bema
301,Nowy Sacz,014,Ulica Browarna
302,Szczecin,37,Ulica Miodowa
303,Tarnow,677,Ulica Janusza Korczaka
304,Wloclawek,855,Ulica Stefana Starzynskiego
305,Tarnow,59076,Ulica Rajska
306,Stargard,3769,Ulica Wincentego Janasa
307,Pila,64,Ulica Wladyslawa Sikorskiego
308,Jaslo,61,Ulica Bozego Ciala
309,Bialystok,66,Ulica Stefana Zeromskiego
310,Kalisz,0,Ulica Bielska
311,Kielce,79,Ulica Jozefa Pilsudskiego
312,Kielce,996,Ulica Jana Pawla II
313,Krakow,86,Ulica Piekna
314,Czestochowa,662,Ulica Wiejska
315,Chelm,37458,Ulica sw. Ducha
316,Krosno,69305,Ulica Gliwicka
317,Zamosc,678,Ulica Krucza
318,Tomaszow Mazowiecki,0277,Ulica Strzelecka
319,Radom,07,Ulica Senatorska
320,Wloclawek,92,Aleja Solidarnosci
321,Radom,388,Ulica Stefana Czarnieckiego
322,Czestochowa,04,Ulica Krolewska
323,Tarnow,228,Ulica Uniwersytecka
324,Zielona Gora,0,Ulica Chlodna
325,Gniezno,6553,Ulica Golebia
326,Pila,7,Ulica Balonowa
327,Radom,1,Ulica Katowicka
328,Czestochowa,6232,Ulica Torunska
329,Zamosc,91,Ulica Towarowa
330,Jaslo,14604,Ulica Widok
331,Tarnow,55,Ulica Pomorska
332,Poznan,8732,Ulica Stanislawa Moniuszki
333,Gdybia,63949,Ulica Teatralna
334,Zielona Gora,32050,Ulica Krolewska
335,Legnica,35,Ulica Adama Mickiewicza
336,Leszno,1,Ulica Karola Olszewskiego
337,Gdansk,397,Ulica Piwna
338,Rzesow,4,Ulica Uniwersytecka
339,Szczecin,71,Ulica Krolewska
340,Radom,54,Ulica 1 Maja
341,Krosno,0,Ulica Uniwersytecka
342,Leszno,4,Ulica Zachodnia
343,Krakow,87564,Ulica Pocztowa
344,Chelm,872,Ulica Jana Pawla II
345,Wloclawek,70735,Ulica Widok
346,Stargard,56,Ulica Jozefa Poniatowskiego
347,Wloclawek,1,Ulica Hrubieszowska
348,Legnica,59,Ulica Szewska
349,Tarnow,2,Ulica Obornicka
350,Kielce,220,Ulica Mostowa
351,Jaslo,5665,Ulica Zamkowa
352,Gniezno,1,Ulica Henryka Sienkiewicza
353,Sopot,4586,Ulica Wladyslawa Reymonta
354,Radom,643,Ulica Senatorska
355,Gdansk,1460,Ulica Swietokrzyska
356,Zakopane,839,Ulica sw. Ducha
357,Tarnow,1432,Ulica Oswiecimska
358,Gdybia,76,Ulica Adama Mickiewicza
359,Zakopane,90,Ulica Farna
360,Gdybia,514,Ulica Dworcowa
361,Przemysl,83332,Ulica Juliusza Slowackiego
362,Biala Podlasa,7,Ulica Torunska
363,Wloclawek,1210,Ulica 3 Maja
364,Zielona Gora,05858,Ulica 1 Maja
365,Rzesow,8,Ulica Piotra Skargi
366,Jaslo,94486,Ulica Legionow
367,Leszno,347,Ulica Zytnia
368,Czestochowa,64923,Ulica Okopowa
369,Zielona Gora,3,Ulica Swietokrzyska
370,Chelm,023,Ulica Piekna
371,Gdybia,7,Ulica Stanislawa Moniuszki
372,Wroclaw,609,Ulica Grodzka
373,Nowy Sacz,76296,Ulica Bielska
374,Gdybia,1920,Ulica Kolejowa
375,Katowice,966,Ulica Stanislawa Staszica
376,Koszalin,3291,Ulica Janusza Korczaka
377,Kalisz,4660,Ulica Jozefa Pilsudskiego
378,Legnica,4845,Ulica Pomorska
379,Przemysl,9446,Aleja Solidarnosci
380,Przemysl,3,Ulica Wawelska
381,Stargard,00335,Ulica Zwyciestwa
382,Legnica,3,Ulica Prudnicka
383,Szczecin,9432,Ulica Zytnia
384,Lublin,3,Ulica Mlynska
385,Radom,857,Ulica Stefana Czarnieckiego
386,Gdansk,58477,Ulica Wawelska
387,Kielce,83,Ulica Targowa
388,Lodz,685,Ulica Wincentego Janasa
389,Lublin,9598,Ulica Wolnosci
390,Leszno,08,Ulica Gornoslaska
391,Krosno,8398,Ulica Mostowa
392,Tarnow,41,Ulica Bernardynska
393,Sopot,421,Ulica Pocztowa
394,Kielce,5347,Ulica Mlynska
395,Leszno,6989,Ulica Krakowska
396,Krakow,44,Ulica Zwyciestwa
397,Olsztyn,68756,Ulica Francuska
398,Poznan,792,Ulica Niestachowska
399,Tarnow,1554,Ulica Kolejowa
400,Koszalin,1,Aleja Wolnosci
401,Pila,64403,Ulica Zwyciestwa
402,Poznan,7062,Ulica Kijowska
403,Olsztyn,950,Ulica Zlota
404,Gdansk,96807,Ulica Hetmanska
405,Bielski-Biala,4,Ulica Gdanska
406,Koszalin,02470,Ulica Jana Kasprowicza
407,Czestochowa,3067,Ulica Jana z Kolna
408,Bielski-Biala,1836,Ulica Stefana Wyszynskiego
409,Kielce,1884,Ulica Senatorska
410,Lodz,7,Ulica Beskidzka
411,Sandomierz,171,Ulica Stanislawa Malachowskiego
412,Bialystok,142,Ulica Gornoslaska
413,Gniezno,88166,Ulica Krakowska
414,Czestochowa,1639,Aleja Legionow
415,Lublin,086,Ulica Karmelicka
416,Krosno,31,Ulica Chorzowska
417,Biala Podlasa,4,Ulica Gdanska
418,Pila,3,Ulica Karola Swierczewskiego
419,Wloclawek,58,Ulica Farna
420,Zamosc,5969,Ulica Ciasna
421,Katowice,650,Ulica Kazimierza Pulaskiego
422,Kielce,5410,Ulica Stefana Wyszynskiego
423,Olsztyn,97224,Ulica Niestachowska
424,Koszalin,96,Ulica Bracka
425,Krosno,7,Ulica Mariacka
426,Czestochowa,2649,Ulica Wincentego Janasa
427,Pila,565,Ulica Kolejowa
428,Krosno,9911,Ulica Zwyciestwa
429,Gorzow Wielkopolski,15121,Ulica Armii Krajowej
430,Legnica,36,Ulica Hallera
431,Rzesow,83987,Ulica Stefana Zeromskiego
432,Zamosc,5,Ulica Zamkowa
433,Kalisz,8511,Ulica Jana z Kolna
434,Gniezno,482,Ulica Nowa
435,Legnica,126,Ulica Piwna
436,Tomaszow Mazowiecki,2,Ulica Brzeska
437,Wloclawek,448,Ulica Sandomierska
438,Zakopane,59,Ulica Szpitalna
439,Konin,520,Aleja Wolnosci
440,Tarnow,56375,Ulica Krucza
441,Olsztyn,19207,Ulica Henryka Sienkiewicza
442,Krakow,2,Ulica Brzeska
443,Radom,8100,Ulica Legionow
444,Radom,05768,Ulica Grunwaldzka
445,Sopot,128,Ulica Zytnia
446,Zielona Gora,01,Ulica Wita Stwosza
447,Gdybia,60,Ulica Jagiellonska
448,Nowy Sacz,2,Ulica Jana Kilinskiego
449,Krakow,767,Ulica Torunska
450,Chelm,748,Ulica Balonowa
451,Gniezno,57219,Ulica Stefana Starzynskiego
452,Legnica,8421,Ulica Mikolaja Reja
453,Szczecin,0640,Ulica Warszawska
454,Poznan,0429,Ulica Chlodna
455,Rzesow,07402,Ulica Obornicka
456,Stargard,59,Ulica Jana Pawla II
457,Gorzow Wielkopolski,85,Ulica Szpitalna
458,Legnica,0545,Ulica sw. Jana
459,Wroclaw,985,Ulica Beskidzka
460,Nowy Sacz,233,Ulica Bozego Ciala
461,Kielce,2094,Aleja Legionow
462,Leszno,62,Ulica Garbarska
463,Plock,3273,Ulica Bohaterow Monte Cassino
464,Leszno,5,Ulica Lwowska
465,Stargard,172,Ulica Siemianowicka
466,Sandomierz,4814,Ulica Lipowa
467,Stargard,828,Ulica Hetmanska
468,Bielski-Biala,5614,Ulica Torunska
469,Sopot,0341,Ulica Chlodna
470,Czestochowa,1,Ulica Zeglarska
471,Rzesow,6604,Ulica Jozefa Poniatowskiego
472,Kalisz,8,Ulica Bielska
473,Lodz,266,Ulica Stefana Czarnieckiego
474,Sopot,69323,Ulica Zamkowa
475,Wroclaw,014,Ulica Browarna
476,Wieliczka,1,Ulica Czestochowska
477,Plock,9437,Ulica Mariacka
478,Wieliczka,08620,Ulica sw. Jana
479,Jaslo,3,Ulica Ogrodowa
480,Katowice,52620,Ulica Gdanska
481,Radom,5,Ulica Boleslawa Prusa
482,Gorzow Wielkopolski,36,Ulica Henryka Sienkiewicza
483,Zakopane,39,Ulica Wiejska
484,Stargard,6,Ulica Stefana Wyszynskiego
485,Krosno,11,Ulica Swietego Idziego
486,Tomaszow Mazowiecki,484,Ulica Fabryczna
487,Kalisz,0893,Ulica Pulawska
488,Koszalin,14060,Ulica Teatralna
489,Plock,6,Ulica Bytomska
490,Bialystok,3,Ulica Franciszkanska
491,Pila,13119,Ulica Jozefa Bema
492,Stargard,694,Ulica Wawelska
493,Kielce,81,Ulica Chorzowska
494,Rzesow,96,Ulica 3 Maja
495,Krakow,04708,Ulica Balonowa
496,Szczecin,9,Ulica Czestochowska
497,Bielski-Biala,946,Ulica Poznanska
498,Chelm,5112,Ulica Fabryczna
499,Warszawa,26572,Ulica Fabryczna
500,Nowy Sacz,0,Ulica Senatorska
